,UC1,UC2,UC3,UC4,UC5,UC6,UC7
ATF6,185.8167215879096,212.5215840710269,214.95643882068944,245.4552246688433,199.9996409139453,269.9753800052599,408.7922938930965
BetaTubulin,265.0522630453155,266.0662132515279,290.3537282929238,459.5540591233352,407.4290896276104,725.5100729436746,784.5673951846528
ConcanavalinA,213.63880489445205,230.1062102670211,239.2315736944897,294.85392751929487,292.1909852856972,337.3045577546801,591.7746792589757
DAPI,137.0294646809734,137.15946027030452,141.48628530945254,138.21028416220767,122.37747890450164,141.30709049006666,162.40913136488152
GOLPH4,232.77564690746036,221.7987707131828,172.71883019039004,141.47340224555316,159.67663228018566,281.3241071262684,344.5211613639775
HSP60,276.8390559656243,254.9111739542521,293.332206333992,544.4637229496196,315.0818500769333,687.9859325611933,668.436335697316
Nucleolin,88.47817545345018,101.55628654582785,76.1065450323173,59.13675821446935,49.531268910773335,17.050304946110643,134.582854855586
Phalloidin,222.8383892688258,215.16964467409983,211.20874752443427,284.3067279691192,235.52576145700056,660.8250464579146,651.9337879814251
Sortilin,262.8647503289745,245.29860468240724,250.89570945350997,428.94429579004753,288.3033788182029,325.1123320230336,596.8638271512897
TOM20,196.7227377987107,226.2708425972933,224.92235677359903,296.102059736632,248.7893162368602,319.56953691865925,520.8064845719207
WGA,212.2942646006699,232.72949424249745,240.425211239208,249.75226338647903,247.3926347907973,289.91267158617285,473.2436813463765
